secondary_substation_unique_id,geometry
SSEN-2501016165,POINT (-0.260463 51.497537)
SSEN-2501017015,POINT (-0.261095 51.498706)
SSEN-2501017035,POINT (-0.254464 51.494283)
SSEN-2501017075,POINT (-0.25215 51.494887)
SSEN-2501017085,POINT (-0.25389 51.492341)
SSEN-2501017095,POINT (-0.253884 51.48949)
SSEN-2501017105,POINT (-0.25106 51.490266)
SSEN-2501017115,POINT (-0.253438 51.487577)
SSEN-2501017125,POINT (-0.255606 51.488517)
SSEN-2501017135,POINT (-0.247332 51.488295)
SSEN-2501018012,POINT (-0.259892 51.505202)
SSEN-2501019032,POINT (-0.272475 51.502243)
SSEN-2501019052,POINT (-0.27134 51.503568)
SSEN-2501019062,POINT (-0.277603 51.504516)
SSEN-2501019072,POINT (-0.280096 51.504517)
SSEN-2501019102,POINT (-0.276595 51.506795)
SSEN-2503602020,POINT (-0.258861 51.521793)
SSEN-2503604020,POINT (-0.259887 51.517942)
SSEN-2503604040,POINT (-0.258798 51.519274)
SSEN-2503604060,POINT (-0.259681 51.51766)
SSEN-2503605020,POINT (-0.272068 51.519039)
SSEN-2503605040,POINT (-0.275518 51.520061)
SSEN-2503605060,POINT (-0.277364 51.517741)
SSEN-2503606020,POINT (-0.260093 51.520094)
SSEN-2503607020,POINT (-0.263008 51.516972)
SSEN-2503607050,POINT (-0.266772 51.516106)
SSEN-2503607060,POINT (-0.267778 51.51662)
SSEN-2503607080,POINT (-0.268944 51.515531)
SSEN-2503607100,POINT (-0.265313 51.513589)
SSEN-2503610020,POINT (-0.270802 51.523912)
SSEN-2503610040,POINT (-0.272069 51.525478)
SSEN-2503614050,POINT (-0.26349 51.519856)
SSEN-2504601020,POINT (-0.381638 51.499613)
SSEN-2504601040,POINT (-0.382823 51.49829)
SSEN-2504601160,POINT (-0.3855 51.497562)
SSEN-2504601180,POINT (-0.383717 51.496638)
SSEN-2504601220,POINT (-0.387191 51.495382)
SSEN-2504601230,POINT (-0.384728 51.495396)
SSEN-2504601260,POINT (-0.376484 51.498283)
SSEN-2504603020,POINT (-0.375875 51.506907)
SSEN-2504603040,POINT (-0.372869 51.507576)
