day,hour,soc,action_power
33,22,0.0,0.0
33,23,0.0,-1e-12
34,0,0.053865,0.05670000000095
34,1,0.154185,0.10560000000095
34,2,0.17141,0.01813157900095
34,3,0.37775,0.21720000000095
34,4,0.62,0.25500000000095
34,5,1.0,0.40000000000095004
34,6,1.0,0.0
34,7,0.57894737,-0.4
34,8,0.15789474,-0.4
34,9,0.0,-0.15
34,10,0.0,0.0
34,11,0.24,0.25263158000095004
34,12,0.62,0.40000000000095004
34,13,0.62,9.5e-13
34,14,0.62,9.5e-13
34,15,1.0,0.40000000000095004
34,16,1.0,0.0
34,17,0.57894737,-0.4
34,18,0.15789474,-0.4
34,19,0.056,-0.0968
34,20,0.0,-0.0532
34,21,0.0,0.0
34,22,0.0,0.0
34,23,0.0,-1e-12
35,0,0.0,0.0
35,1,0.0,0.0
35,2,0.0,0.0
35,3,0.38,0.40000000000095004
35,4,0.62,0.25263158000095004
35,5,1.0,0.40000000000095004
35,6,1.0,0.0
35,7,0.57894737,-0.4
35,8,0.15789474,-0.4
35,9,0.0,-0.15
35,10,-2.9526316e-12,-2.805e-12
35,11,-2.0026316e-12,1e-12
35,12,-1.0526316e-12,1e-12
35,13,0.24,0.25263158
35,14,0.62,0.4
35,15,1.0,0.4
35,16,1.0,0.0
35,17,0.57894737,-0.4
35,18,0.15789474,-0.4
35,19,0.0,-0.15
35,20,0.0,0.0
35,21,0.0,0.0
35,22,0.0,0.0
35,23,0.0,0.0
36,0,0.0,0.0
36,1,0.0,0.0
36,2,0.0,0.0
36,3,0.38,0.40000000000095004
36,4,0.46210526,0.08642659300095
36,5,0.84210526,0.40000000000095004
36,6,0.84210526,9.5e-13
36,7,0.42105263,-0.4
36,8,0.0,-0.4
36,9,0.0,0.0
36,10,0.0,0.0
36,11,0.0,0.0
36,12,0.0,0.0
36,13,0.24,0.25263158
36,14,0.62,0.4
36,15,1.0,0.4
36,16,1.0,0.0
36,17,1.0,0.0
36,18,0.57894737,-0.4
36,19,0.18421053,-0.375
36,20,0.0,-0.175
36,21,0.0,0.0
36,22,0.0,0.0
36,23,0.0,0.0
37,0,0.0,0.0
37,1,0.0,0.0
37,2,0.0,0.0
37,3,1e-12,9.5e-13
37,4,0.050707105,0.053375900000949994
37,5,0.43070711,0.40000000000095004
37,6,0.28491763,-0.1385
37,7,0.42105263,0.14330000000095
37,8,0.0,-0.4
37,9,0.0,0.0
37,10,-2.0026316e-12,-1.9025e-12
37,11,-1.0526316e-12,1e-12
37,12,0.38,0.4
37,13,0.62,0.25263158
37,14,1.0,0.4
37,15,1.0,-9.9986686e-13
37,16,1.0,0.0
37,17,0.84210526,-0.15
37,18,0.42105263,-0.4
37,19,0.42105263,0.0
37,20,0.0,-0.4
37,21,0.0,0.0
37,22,1e-12,9.5e-13
37,23,0.0,-9.5e-13
38,0,1e-12,9.5e-13
38,1,2e-12,9.5e-13
38,2,3e-12,9.5e-13
38,3,0.0,-2.85e-12
38,4,1e-12,9.5e-13
38,5,0.0,-9.5e-13
38,6,1e-12,9.5e-13
38,7,2e-12,9.5e-13
38,8,0.041052632,0.043213296000949995
38,9,0.42105263,0.40000000000095004
38,10,0.0,-0.4
38,11,1e-12,9.5e-13
38,12,0.0,-9.5e-13
38,13,0.24,0.25263158000095004
38,14,0.62,0.40000000000095004
38,15,1.0,0.40000000000095004
38,16,0.84210526,-0.15
38,17,0.42105263,-0.4
38,18,0.0,-0.4
38,19,0.0,0.0
38,20,0.0,0.0
38,21,0.0,0.0
38,22,0.0,0.0
38,23,0.0,-1e-12
39,0,0.0,0.0
39,1,0.0,0.0
39,2,0.24,0.25263158000095004
39,3,0.24,9.5e-13
39,4,0.62,0.40000000000095004
39,5,1.0,0.40000000000095004
39,6,1.0,0.0
39,7,0.57894737,-0.4
39,8,0.15789474,-0.4
39,9,0.0,-0.15
39,10,0.0,0.0
39,11,-1.0526316e-12,-1e-12
39,12,-1.0526316e-12,0.0
39,13,0.24,0.25263158
39,14,0.62,0.4
39,15,1.0,0.40000000000095004
39,16,0.84210526,-0.15
39,17,0.42105263,-0.4
39,18,0.0,-0.4
39,19,0.0,0.0
39,20,0.0,0.0
39,21,0.0,0.0
39,22,0.0,0.0
